opportunity_id,sales_agent,product,account,deal_stage,engage_date,close_date,engage_month,close_month,close_value,manager,regional_office,sector,year_established,revenue,employees,office_location,employee_size,time_to_close,time_to_close_bin
WF4HA5NW,Moses Frase,MG Special,Ron-tech,Won,2016-11-07,2017-03-18,2016-11-01,2017-03-01,50,Dustin Brinkmann,Central,medical,1992,3922420000,6837,United States,5001 - 7500,131,90+ days
C5K2JP1H,Violet Mclelland,GTX Plus Basic,Vehement Capital Partners,Won,2016-11-07,2017-03-11,2016-11-01,2017-03-01,1014,Cara Losch,East,finance,1993,646100000,883,United States,0 - 1000,124,90+ days
ADRB8OMB,Darcel Schlecht,GTX Basic,Warephase,Won,2016-11-08,2017-03-26,2016-11-01,2017-03-01,561,Melvin Marxen,Central,services,1997,2041730000,5276,United States,5001 - 7500,138,90+ days
SBCR987L,Kami Bicknell,GTX Basic,Zoomit,Won,2016-11-10,2017-03-23,2016-11-01,2017-03-01,590,Summer Sewald,West,entertainment,1992,324190000,978,United States,0 - 1000,133,90+ days
UP409DSB,Maureen Marcano,MG Advanced,Ganjaflex,Engaging,2016-11-10,NA,2016-11-01,NA,NA,Summer Sewald,West,retail,1995,5158710000,17479,Japan,10000 +,NA,NA
JSD4APT2,Versie Hillebrand,MG Special,Bioholding,Won,2016-11-10,2017-03-12,2016-11-01,2017-03-01,61,Dustin Brinkmann,Central,medical,2012,587340000,1356,Philipines,1001 - 2500,122,90+ days
AO9Z2D17,Violet Mclelland,GTX Plus Pro,Xx-zobam,Lost,2016-11-10,2017-03-11,2016-11-01,2017-03-01,0,Cara Losch,East,entertainment,1989,3838390000,8274,United States,7501 - 10000,121,90+ days
5M58DTJK,Elease Gluck,MG Special,Cheers,Won,2016-11-11,2017-03-05,2016-11-01,2017-03-01,58,Celia Rouche,West,entertainment,1993,4269899999.9999995,6472,United States,5001 - 7500,114,90+ days
KNY1OSAB,Maureen Marcano,GTXPro,Labdrill,Won,2016-11-11,2017-03-14,2016-11-01,2017-03-01,4899,Summer Sewald,West,medical,1985,2741370000,9226,United States,7501 - 10000,123,90+ days
EAZDUUM9,Rosie Papadopoulos,MG Advanced,Zotware,Lost,2016-11-11,2017-03-01,2016-11-01,2017-03-01,0,Cara Losch,East,software,1979,4478470000,13809,United States,10000 +,110,90+ days
2STUSOFE,Versie Hillebrand,MG Special,dambase,Won,2016-11-11,2017-03-03,2016-11-01,2017-03-01,67,Dustin Brinkmann,Central,marketing,1995,2173980000,2928,United States,2051 - 5000,112,90+ days
JYKM0B00,James Ascencio,GTXPro,Xx-holding,Won,2016-11-12,2017-03-06,2016-11-01,2017-03-01,4338,Summer Sewald,West,finance,1993,7537240000,20293,United States,10000 +,114,90+ days
KU28360J,Kary Hendrixson,GTX Basic,Fasehatice,Won,2016-11-12,2017-03-19,2016-11-01,2017-03-01,578,Summer Sewald,West,retail,1990,4968910000,7523,United States,7501 - 10000,127,90+ days
N4SD17JR,Reed Clapper,GTX Basic,Acme Corporation,Won,2016-11-12,2017-03-01,2016-11-01,2017-03-01,556,Rocco Neubert,East,technology,1996,1100040000,2822,United States,2051 - 5000,109,90+ days
E67P9Y3Q,Rosalina Dieter,GTX Basic,Green-Plus,Won,2016-11-12,2017-03-03,2016-11-01,2017-03-01,635,Celia Rouche,West,services,2003,692190000,1922,United States,1001 - 2500,111,90+ days
AT3MMVIS,Wilburn Farren,MG Advanced,The New York Inquirer,Won,2016-11-12,2017-03-07,2016-11-01,2017-03-01,3045,Cara Losch,East,medical,1996,439210000,792,United States,0 - 1000,115,90+ days
REJ11LRY,Garret Kinder,GTX Plus Basic,Mathtouch,Won,2016-11-13,2017-03-14,2016-11-01,2017-03-01,1233,Cara Losch,East,marketing,1984,3027460000,9516,Jordan,7501 - 10000,121,90+ days
ERV0CAZ7,Versie Hillebrand,MG Special,Zumgoity,Won,2016-11-13,2017-03-09,2016-11-01,2017-03-01,60,Dustin Brinkmann,Central,medical,1984,441080000,1210,United States,1001 - 2500,116,90+ days
8SOQADK7,Anna Snelling,MG Special,Gogozoom,Lost,2016-11-14,2017-03-30,2016-11-01,2017-03-01,0,Dustin Brinkmann,Central,telecommunications,2007,86680000,187,United States,0 - 1000,136,90+ days
TCHFT25B,Darcel Schlecht,GTX Basic,Stanredtax,Lost,2016-11-14,2017-03-08,2016-11-01,2017-03-01,0,Melvin Marxen,Central,finance,1987,1698200000,3798,United States,2051 - 5000,114,90+ days
CZVN09WN,Darcel Schlecht,GTX Plus Basic,Konmatfix,Won,2016-11-14,2017-03-20,2016-11-01,2017-03-01,1170,Melvin Marxen,Central,marketing,1985,375430000,1190,United States,1001 - 2500,126,90+ days
EG7OFLFR,Kami Bicknell,GTX Basic,NA,Engaging,2016-11-14,NA,2016-11-01,NA,NA,Summer Sewald,West,NA,NA,NA,NA,NA,NA,NA,NA
30UQWUKB,Marty Freudenburg,GTX Plus Basic,Genco Pura Olive Oil Company,Won,2016-11-15,2017-03-20,2016-11-01,2017-03-01,1162,Melvin Marxen,Central,retail,2007,894330000,1635,Italy,1001 - 2500,125,90+ days
OLVI7L8M,Cassey Cress,GTXPro,NA,Engaging,2016-11-16,NA,2016-11-01,NA,NA,Rocco Neubert,East,NA,NA,NA,NA,NA,NA,NA,NA
97UN20YY,Darcel Schlecht,MG Advanced,Conecom,Won,2016-11-16,2017-03-14,2016-11-01,2017-03-01,3725,Melvin Marxen,Central,technology,2005,1520660000,1806,United States,1001 - 2500,118,90+ days
JXLERZ9O,Kary Hendrixson,GTX Basic,Golddex,Won,2016-11-16,2017-03-31,2016-11-01,2017-03-01,559,Summer Sewald,West,finance,2008,52500000,165,United States,0 - 1000,135,90+ days
6ROE69W5,Rosalina Dieter,GTX Basic,Plexzap,Lost,2016-11-16,2017-03-11,2016-11-01,2017-03-01,0,Celia Rouche,West,retail,2001,2437850000,4874,United States,2051 - 5000,115,90+ days
0DFXFKT7,Darcel Schlecht,GTX Plus Basic,Rundofase,Lost,2016-11-17,2017-03-21,2016-11-01,2017-03-01,0,Melvin Marxen,Central,technology,1983,1008060000,1238,United States,1001 - 2500,124,90+ days
XKMZVSN4,James Ascencio,GTX Plus Pro,Sonron,Won,2016-11-17,2017-03-05,2016-11-01,2017-03-01,4667,Summer Sewald,West,telecommunications,1999,1699850000,5108,United States,5001 - 7500,108,90+ days
IU8V0BZK,Marty Freudenburg,GTX Plus Basic,Finhigh,Won,2016-11-17,2017-03-17,2016-11-01,2017-03-01,903,Melvin Marxen,Central,finance,2006,1102430000,1759,United States,1001 - 2500,120,90+ days
XY42936P,Maureen Marcano,GTX Plus Basic,Finjob,Won,2016-11-17,2017-03-13,2016-11-01,2017-03-01,1180,Summer Sewald,West,employment,1988,2059900000,3644,United States,2051 - 5000,116,90+ days
XRN54MBM,Niesha Huffines,GTX Basic,Ron-tech,Won,2016-11-17,2017-03-05,2016-11-01,2017-03-01,487,Melvin Marxen,Central,medical,1992,3922420000,6837,United States,5001 - 7500,108,90+ days
2V848WZD,Lajuana Vencill,MG Advanced,Stanredtax,Won,2016-11-18,2017-03-04,2016-11-01,2017-03-01,3180,Dustin Brinkmann,Central,finance,1987,1698200000,3798,United States,2051 - 5000,106,90+ days
ONYNTUCG,Darcel Schlecht,GTXPro,Funholding,Lost,2016-11-19,2017-03-17,2016-11-01,2017-03-01,0,Melvin Marxen,Central,finance,1991,2819500000,7227,United States,5001 - 7500,118,90+ days
HIOHX80Y,Darcel Schlecht,MG Advanced,Gogozoom,Won,2016-11-19,2017-03-18,2016-11-01,2017-03-01,3563,Melvin Marxen,Central,telecommunications,2007,86680000,187,United States,0 - 1000,119,90+ days
F5U1ACDD,Kami Bicknell,GTX Plus Basic,NA,Engaging,2016-11-19,NA,2016-11-01,NA,NA,Summer Sewald,West,NA,NA,NA,NA,NA,NA,NA,NA
LPKT07PV,Boris Faz,GTXPro,Opentech,Won,2016-11-20,2017-03-23,2016-11-01,2017-03-01,4704,Rocco Neubert,East,finance,1994,355230000,853,United States,0 - 1000,123,90+ days
WPB2SLIG,Donn Cantrell,GTX Plus Pro,Silis,Won,2016-11-20,2017-03-14,2016-11-01,2017-03-01,5585,Rocco Neubert,East,medical,1994,2818380000,6290,United States,5001 - 7500,114,90+ days
XUSUEAV7,Elease Gluck,GTK 500,Zoomit,Won,2016-11-20,2017-03-09,2016-11-01,2017-03-01,25897,Celia Rouche,West,entertainment,1992,324190000,978,United States,0 - 1000,109,90+ days
ZZY4516R,Hayden Neloms,MG Advanced,NA,Engaging,2016-11-20,NA,2016-11-01,NA,NA,Celia Rouche,West,NA,NA,NA,NA,NA,NA,NA,NA
3TYPII47,Kami Bicknell,GTX Plus Basic,Goodsilron,Won,2016-11-20,2017-03-03,2016-11-01,2017-03-01,1207,Summer Sewald,West,marketing,2000,2952730000,5107,United States,5001 - 7500,103,90+ days
7WAX8Z8O,Lajuana Vencill,MG Advanced,Cancity,Lost,2016-11-20,2017-03-08,2016-11-01,2017-03-01,0,Dustin Brinkmann,Central,retail,2001,718620000,2448,United States,1001 - 2500,108,90+ days
MYDUMR3R,Lajuana Vencill,GTX Basic,Rangreen,Won,2016-11-20,2017-03-04,2016-11-01,2017-03-01,559,Dustin Brinkmann,Central,technology,1987,2938670000,8775,Panama,7501 - 10000,104,90+ days
0DRC1U9Q,Maureen Marcano,GTX Basic,Green-Plus,Engaging,2016-11-20,NA,2016-11-01,NA,NA,Summer Sewald,West,services,2003,692190000,1922,United States,1001 - 2500,NA,NA
37JFKD4I,Niesha Huffines,GTX Plus Basic,dambase,Won,2016-11-20,2017-03-09,2016-11-01,2017-03-01,1033,Melvin Marxen,Central,marketing,1995,2173980000,2928,United States,2051 - 5000,109,90+ days
25YKPHX8,Donn Cantrell,GTX Basic,Kan-code,Won,2016-11-21,2017-03-21,2016-11-01,2017-03-01,462,Rocco Neubert,East,software,1982,11698030000,34288,United States,10000 +,120,90+ days
BXXMA7F3,Hayden Neloms,MG Advanced,Nam-zim,Lost,2016-11-21,2017-03-01,2016-11-01,2017-03-01,0,Celia Rouche,West,services,1987,405590000,1179,Brazil,1001 - 2500,100,90+ days
GIUUTBXM,Kary Hendrixson,GTXPro,Y-corporation,Won,2016-11-21,2017-03-14,2016-11-01,2017-03-01,5539,Summer Sewald,West,employment,1983,2871350000,9561,United States,7501 - 10000,113,90+ days
MFX2LR1Q,Lajuana Vencill,MG Advanced,Ron-tech,Won,2016-11-21,2017-03-15,2016-11-01,2017-03-01,3573,Dustin Brinkmann,Central,medical,1992,3922420000,6837,United States,5001 - 7500,114,90+ days
DUHE9FLY,Marty Freudenburg,GTXPro,Conecom,Won,2016-11-21,2017-03-01,2016-11-01,2017-03-01,4926,Melvin Marxen,Central,technology,2005,1520660000,1806,United States,1001 - 2500,100,90+ days
96BSG7R1,Zane Levy,GTX Plus Basic,Sunnamplex,Lost,2016-11-21,2017-03-17,2016-11-01,2017-03-01,0,Summer Sewald,West,marketing,2008,894370000,1593,Poland,1001 - 2500,116,90+ days
7FQMSWIX,Corliss Cosme,MG Special,Bioplex,Won,2016-11-22,2017-03-04,2016-11-01,2017-03-01,62,Cara Losch,East,medical,1991,326820000,1016,United States,1001 - 2500,102,90+ days
C20AVXN7,Darcel Schlecht,GTXPro,Gogozoom,Won,2016-11-22,2017-03-14,2016-11-01,2017-03-01,4359,Melvin Marxen,Central,telecommunications,2007,86680000,187,United States,0 - 1000,112,90+ days
GS1QVWCR,Kami Bicknell,GTX Basic,Plusstrip,Won,2016-11-22,2017-03-31,2016-11-01,2017-03-01,566,Summer Sewald,West,entertainment,2002,349810000,315,United States,0 - 1000,129,90+ days
ZWH8FXY3,Marty Freudenburg,GTX Basic,Toughzap,Won,2016-11-22,2017-03-03,2016-11-01,2017-03-01,508,Melvin Marxen,Central,retail,1995,332430000,799,United States,0 - 1000,101,90+ days
2U94Y3Q9,Rosie Papadopoulos,MG Advanced,Vehement Capital Partners,Lost,2016-11-22,2017-03-20,2016-11-01,2017-03-01,0,Cara Losch,East,finance,1993,646100000,883,United States,0 - 1000,118,90+ days
AAR79NOO,Versie Hillebrand,MG Special,Codehow,Won,2016-11-22,2017-03-11,2016-11-01,2017-03-01,51,Dustin Brinkmann,Central,software,1998,2714900000,2641,United States,2051 - 5000,109,90+ days
B6B0PNR2,Vicki Laflamme,GTXPro,Dalttechnology,Won,2016-11-22,2017-03-05,2016-11-01,2017-03-01,4899,Celia Rouche,West,software,2013,98790000,96,United States,0 - 1000,103,90+ days
M7I5O9YU,Corliss Cosme,GTX Basic,Cheers,Engaging,2016-11-23,NA,2016-11-01,NA,NA,Cara Losch,East,entertainment,1993,4269899999.9999995,6472,United States,5001 - 7500,NA,NA
LXZA2OSZ,Corliss Cosme,GTX Plus Pro,Ontomedia,Won,2016-11-23,2017-03-03,2016-11-01,2017-03-01,5790,Cara Losch,East,employment,1997,882120000,2769,United States,2051 - 5000,100,90+ days
N0ONCYVZ,Donn Cantrell,MG Special,Kinnamplus,Lost,2016-11-23,2017-03-30,2016-11-01,2017-03-01,0,Rocco Neubert,East,retail,2004,702720000,1831,United States,1001 - 2500,127,90+ days
GYB4W2AU,Elease Gluck,MG Advanced,NA,Engaging,2016-11-23,NA,2016-11-01,NA,NA,Celia Rouche,West,NA,NA,NA,NA,NA,NA,NA,NA
513DPFX5,Gladys Colclough,GTXPro,Codehow,Won,2016-11-23,2017-03-03,2016-11-01,2017-03-01,4438,Melvin Marxen,Central,software,1998,2714900000,2641,United States,2051 - 5000,100,90+ days
RU023K5W,Gladys Colclough,MG Advanced,Finhigh,Won,2016-11-23,2017-03-17,2016-11-01,2017-03-01,2972,Melvin Marxen,Central,finance,2006,1102430000,1759,United States,1001 - 2500,114,90+ days
VDIU10RV,Markita Hansen,MG Special,Lexiqvolax,Engaging,2016-11-23,NA,2016-11-01,NA,NA,Celia Rouche,West,medical,2004,1618890000,3889,United States,2051 - 5000,NA,NA
BZCBQ514,Markita Hansen,GTX Basic,Y-corporation,Won,2016-11-23,2017-03-01,2016-11-01,2017-03-01,523,Celia Rouche,West,employment,1983,2871350000,9561,United States,7501 - 10000,98,90+ days
HEE6P0QH,Anna Snelling,MG Advanced,Statholdings,Won,2016-11-24,2017-03-25,2016-11-01,2017-03-01,3647,Dustin Brinkmann,Central,employment,1997,291270000,586,United States,0 - 1000,121,90+ days
L8CHRJ2B,Cassey Cress,MG Advanced,Umbrella Corporation,Won,2016-11-24,2017-03-01,2016-11-01,2017-03-01,4200,Rocco Neubert,East,finance,1998,2022140000,5113,United States,5001 - 7500,97,90+ days
579LZ3F9,Daniell Hammack,GTX Plus Basic,J-Texon,Engaging,2016-11-24,NA,2016-11-01,NA,NA,Rocco Neubert,East,retail,1989,1388670000,3583,United States,2051 - 5000,NA,NA
SU8JNMP4,Kami Bicknell,GTX Plus Basic,Bubba Gump,Engaging,2016-11-24,NA,2016-11-01,NA,NA,Summer Sewald,West,software,2002,987390000,2253,United States,1001 - 2500,NA,NA
V2X2KMUR,Kami Bicknell,GTX Plus Basic,Faxquote,Won,2016-11-24,2017-03-28,2016-11-01,2017-03-01,1059,Summer Sewald,West,telecommunications,1995,1825820000,5595,United States,5001 - 7500,124,90+ days
AJIPJP75,Marty Freudenburg,GTX Plus Basic,Codehow,Lost,2016-11-24,2017-03-05,2016-11-01,2017-03-01,0,Melvin Marxen,Central,software,1998,2714900000,2641,United States,2051 - 5000,101,90+ days
NYVA2G6U,Versie Hillebrand,MG Special,Dontechi,Won,2016-11-24,2017-03-02,2016-11-01,2017-03-01,57,Dustin Brinkmann,Central,software,1982,4618000000,10083,United States,10000 +,98,90+ days
FF45BXTL,Vicki Laflamme,MG Advanced,Konex,Won,2016-11-24,2017-03-27,2016-11-01,2017-03-01,3671,Celia Rouche,West,technology,1980,7708380000,13756,United States,10000 +,123,90+ days
TTA9LYBS,Anna Snelling,MG Special,Treequote,Won,2016-11-25,2017-03-01,2016-11-01,2017-03-01,58,Dustin Brinkmann,Central,telecommunications,1988,5266090000,8595,United States,7501 - 10000,96,90+ days
PAGZQH8L,Cecily Lampkin,MG Advanced,Treequote,Won,2016-11-25,2017-03-06,2016-11-01,2017-03-01,3956,Dustin Brinkmann,Central,telecommunications,1988,5266090000,8595,United States,7501 - 10000,101,90+ days
J7YF6DS7,Corliss Cosme,GTX Plus Pro,Betasoloin,Won,2016-11-25,2017-03-01,2016-11-01,2017-03-01,5964,Cara Losch,East,medical,1999,251410000,495,United States,0 - 1000,96,90+ days
S5IXY4Z9,Corliss Cosme,GTXPro,Betasoloin,Won,2016-11-25,2017-03-06,2016-11-01,2017-03-01,4570,Cara Losch,East,medical,1999,251410000,495,United States,0 - 1000,101,90+ days
JQBJMETQ,Darcel Schlecht,MG Special,Domzoom,Won,2016-11-25,2017-03-27,2016-11-01,2017-03-01,49,Melvin Marxen,Central,entertainment,1998,217870000,551,United States,0 - 1000,122,90+ days
0LVWSWEW,Violet Mclelland,MG Special,Donquadtech,Won,2016-11-25,2017-03-06,2016-11-01,2017-03-01,65,Cara Losch,East,technology,1992,1712680000,3194,United States,2051 - 5000,101,90+ days
K53BC1T9,Anna Snelling,MG Special,Domzoom,Lost,2016-11-26,2017-03-27,2016-11-01,2017-03-01,0,Dustin Brinkmann,Central,entertainment,1998,217870000,551,United States,0 - 1000,121,90+ days
D40N5I9Y,Darcel Schlecht,GTXPro,Finhigh,Won,2016-11-26,2017-03-08,2016-11-01,2017-03-01,4739,Melvin Marxen,Central,finance,2006,1102430000,1759,United States,1001 - 2500,102,90+ days
051QTX8Z,Niesha Huffines,GTX Plus Basic,Globex Corporation,Won,2016-11-26,2017-03-21,2016-11-01,2017-03-01,1080,Melvin Marxen,Central,technology,2000,1223720000,2497,Norway,1001 - 2500,115,90+ days
5D2XH04S,Reed Clapper,MG Special,Plussunin,Won,2016-11-26,2017-03-12,2016-11-01,2017-03-01,57,Rocco Neubert,East,retail,2003,1419980000,4018,United States,2051 - 5000,106,90+ days
V9E582SK,Garret Kinder,GTX Basic,Konex,Won,2016-11-27,2017-03-16,2016-11-01,2017-03-01,469,Cara Losch,East,technology,1980,7708380000,13756,United States,10000 +,109,90+ days
UK0LEZRJ,Kary Hendrixson,GTX Basic,Condax,Won,2016-11-27,2017-03-03,2016-11-01,2017-03-01,532,Summer Sewald,West,medical,2017,4540000,9,United States,0 - 1000,96,90+ days
PFFHM7HR,Markita Hansen,MG Advanced,Opentech,Engaging,2016-11-27,NA,2016-11-01,NA,NA,Celia Rouche,West,finance,1994,355230000,853,United States,0 - 1000,NA,NA
IT10CFQH,Rosalina Dieter,GTX Basic,Konex,Won,2016-11-27,2017-03-26,2016-11-01,2017-03-01,538,Celia Rouche,West,technology,1980,7708380000,13756,United States,10000 +,119,90+ days
8VKD2CCH,Rosie Papadopoulos,GTXPro,Massive Dynamic,Won,2016-11-27,2017-03-21,2016-11-01,2017-03-01,4829,Cara Losch,East,entertainment,1989,665060000,1095,United States,1001 - 2500,114,90+ days
2XQAKBXH,Zane Levy,GTX Plus Pro,Doncon,Won,2016-11-27,2017-03-11,2016-11-01,2017-03-01,5370,Summer Sewald,West,technology,2010,587720000,1501,United States,1001 - 2500,104,90+ days
7G7YLGJO,Zane Levy,GTX Plus Pro,Hatfan,Won,2016-11-27,2017-03-21,2016-11-01,2017-03-01,6499,Summer Sewald,West,services,1982,792460000,1299,United States,1001 - 2500,114,90+ days
GCA97W27,Darcel Schlecht,GTX Plus Basic,Genco Pura Olive Oil Company,Won,2016-11-28,2017-03-06,2016-11-01,2017-03-01,1161,Melvin Marxen,Central,retail,2007,894330000,1635,Italy,1001 - 2500,98,90+ days
K8FUZHOG,Kary Hendrixson,GTX Basic,Scotfind,Won,2016-11-28,2017-03-26,2016-11-01,2017-03-01,576,Summer Sewald,West,software,1996,6354870000,16780,United States,10000 +,118,90+ days
5WJZMULK,Maureen Marcano,GTX Plus Basic,Hatfan,Won,2016-11-28,2017-03-19,2016-11-01,2017-03-01,979,Summer Sewald,West,services,1982,792460000,1299,United States,1001 - 2500,111,90+ days
ZPYD4T9W,Versie Hillebrand,MG Special,Stanredtax,Won,2016-11-28,2017-03-07,2016-11-01,2017-03-01,43,Dustin Brinkmann,Central,finance,1987,1698200000,3798,United States,2051 - 5000,99,90+ days
KE9ZEDS8,Gladys Colclough,MG Special,Scottech,Won,2016-11-29,2017-03-07,2016-11-01,2017-03-01,57,Melvin Marxen,Central,marketing,2012,45390000,100,United States,0 - 1000,98,90+ days
7KK0HQ4C,Lajuana Vencill,MG Special,Ron-tech,Lost,2016-11-29,2017-03-28,2016-11-01,2017-03-01,0,Dustin Brinkmann,Central,medical,1992,3922420000,6837,United States,5001 - 7500,119,90+ days
FP7014Z0,Lajuana Vencill,GTX Plus Basic,Funholding,Won,2016-11-29,2017-03-12,2016-11-01,2017-03-01,948,Dustin Brinkmann,Central,finance,1991,2819500000,7227,United States,5001 - 7500,103,90+ days
N4HFHDMW,Wilburn Farren,MG Advanced,Plussunin,Won,2016-11-29,2017-03-10,2016-11-01,2017-03-01,3012,Cara Losch,East,retail,2003,1419980000,4018,United States,2051 - 5000,101,90+ days
2HFLKREC,Cassey Cress,MG Advanced,Zotware,Won,2016-11-30,2017-03-15,2016-11-01,2017-03-01,3665,Rocco Neubert,East,software,1979,4478470000,13809,United States,10000 +,105,90+ days
7JVTTVCO,Violet Mclelland,GTX Basic,Gekko & Co,Won,2016-11-30,2017-03-24,2016-11-01,2017-03-01,564,Cara Losch,East,retail,1990,2520830000,3502,United States,2051 - 5000,114,90+ days
3X13866U,Anna Snelling,GTX Plus Basic,dambase,Lost,2016-12-01,2017-03-06,2016-12-01,2017-03-01,0,Dustin Brinkmann,Central,marketing,1995,2173980000,2928,United States,2051 - 5000,95,90+ days
7LE19SYE,Cassey Cress,MG Advanced,Initech,Won,2016-12-01,2017-03-22,2016-12-01,2017-03-01,3463,Rocco Neubert,East,telecommunications,1994,6395050000,20275,United States,10000 +,111,90+ days
J5V2M7Y1,Corliss Cosme,GTX Basic,Gekko & Co,Won,2016-12-01,2017-03-26,2016-12-01,2017-03-01,513,Cara Losch,East,retail,1990,2520830000,3502,United States,2051 - 5000,115,90+ days
41MURAI5,Corliss Cosme,GTX Basic,Konex,Won,2016-12-01,2017-03-28,2016-12-01,2017-03-01,590,Cara Losch,East,technology,1980,7708380000,13756,United States,10000 +,117,90+ days
QHI8WRIA,Darcel Schlecht,GTXPro,Dontechi,Won,2016-12-01,2017-03-30,2016-12-01,2017-03-01,4511,Melvin Marxen,Central,software,1982,4618000000,10083,United States,10000 +,119,90+ days
AJXAXV4W,Lajuana Vencill,MG Advanced,Finhigh,Lost,2016-12-01,2017-03-02,2016-12-01,2017-03-01,0,Dustin Brinkmann,Central,finance,2006,1102430000,1759,United States,1001 - 2500,91,90+ days
VPDXX5PJ,Niesha Huffines,GTX Basic,Cancity,Won,2016-12-01,2017-03-26,2016-12-01,2017-03-01,546,Melvin Marxen,Central,retail,2001,718620000,2448,United States,1001 - 2500,115,90+ days
