order_number,line_item,order_month,order_date,delivery_date,customer_key,store_key,product_key,quantity,gender,name,city,state_code,state,zip_code,birthday,product_name,brand,color,unit_cost_usd,unit_price_usd,sales_usd,subcategory_key,subcategory,category_key,category,first_purchase_date,age_in_days,unique_purchase_count,repeat_customer
371015,1,2016-01-01,2016-01-06,2016-01-14,1669745,0,1679,5,Male,James Anderson,Tallahassee,FL,Florida,32303,1961-09-09,MGS Hand Games for kids E300 Silver,Tailspin Toys,Silver,2.8,5.5,27.5,0701,Boxed Games,07,Games and Toys,2016-01-06,1872,4,1
371015,2,2016-01-01,2016-01-06,2016-01-14,1669745,0,1659,1,Male,James Anderson,Tallahassee,FL,Florida,32303,1961-09-09,Contoso DVD 14-Inch Player Portable L100 White,Contoso,White,86.14,259.98999999999995,259.98999999999995,0602,Movie DVD,06,"Music, Movies and Audio Books",2016-01-06,1872,4,1
371015,3,2016-01-01,2016-01-06,2016-01-14,1669745,0,1228,1,Male,James Anderson,Tallahassee,FL,Florida,32303,1961-09-09,"Fabrikam Independent Filmmaker 1"" 25mm X400 Blue",Fabrikam,Blue,536.74,1620,1620,0405,Camcorders,04,Cameras and camcorders,2016-01-06,1872,4,1
371015,4,2016-01-01,2016-01-06,2016-01-14,1669745,0,1458,4,Male,James Anderson,Tallahassee,FL,Florida,32303,1961-09-09,The Phone Company Touch Screen Phones - LCD M12 Gold,The Phone Company,Gold,91.97,200,800,0503,Touch Screen Phones,05,Cell phones,2016-01-06,1872,4,1
372000,1,2016-01-01,2016-01-07,2016-01-22,1413890,0,148,3,Female,Jena Zimmerman,Aloha,OR,Oregon,97007,1999-01-14,"Adventure Works 52"" LCD HDTV X590 Brown",Adventure Works,Brown,960.8199999999999,2899.9900000000002,8699.970000000001,0201,Televisions,02,TV and Video,2016-01-07,1871,3,1
372000,2,2016-01-01,2016-01-07,2016-01-22,1413890,0,1620,1,Female,Jena Zimmerman,Aloha,OR,Oregon,97007,1999-01-14,Contoso DVD Player M140 Gold,Contoso,Gold,28.05,60.99,60.99,0602,Movie DVD,06,"Music, Movies and Audio Books",2016-01-07,1871,3,1
372000,3,2016-01-01,2016-01-07,2016-01-22,1413890,0,825,3,Female,Jena Zimmerman,Aloha,OR,Oregon,97007,1999-01-14,Contoso Reserve Pen - Tablet Pen E200 Grey,Contoso,Grey,7.09,13.9,41.7,0308,Computers Accessories,03,Computers,2016-01-07,1871,3,1
372006,1,2016-01-01,2016-01-07,2016-01-15,2095742,0,125,2,Female,Michelle Krüger,Gooding,ID,Idaho,83330,1942-08-03,"Adventure Works 19"" Color Digital TV E35 Silver",Adventure Works,Silver,73.11,143.4,286.8,0201,Televisions,02,TV and Video,2016-01-07,1871,1,0
373000,1,2016-01-01,2016-01-08,2016-01-14,1367439,0,2509,3,Female,Tammy Overall,Escondido,CA,California,92025,1999-05-27,Contoso Original K1m Li-Ion Standard Battery E170 Black,Contoso,Black,2.07,4.06,12.18,0505,Cell phones Accessories,05,Cell phones,2016-01-08,1870,2,1
373000,2,2016-01-01,2016-01-08,2016-01-14,1367439,0,716,3,Female,Tammy Overall,Escondido,CA,California,92025,1999-05-27,Proseware High Speed Laser M2000 White,Proseware,White,69.25,209,627,0306,"Printers, Scanners & Fax",03,Computers,2016-01-08,1870,2,1
374012,1,2016-01-01,2016-01-09,2016-01-20,1758208,0,1280,1,Male,Christopher Lopp,Plymouth,IN,Indiana,46563,1995-05-12,Contoso General Soft Carrying Case E318 Silver,Contoso,Silver,7.64,14.99,14.99,0406,Cameras & Camcorders Accessories,04,Cameras and camcorders,2016-01-09,1869,4,1
374012,2,2016-01-01,2016-01-09,2016-01-20,1758208,0,1276,1,Male,Christopher Lopp,Plymouth,IN,Indiana,46563,1995-05-12,Contoso Digital Cameras Lightweight Tripod E316 Pink,Contoso,Pink,26.58,52.13,52.13,0406,Cameras & Camcorders Accessories,04,Cameras and camcorders,2016-01-09,1869,4,1
374012,3,2016-01-01,2016-01-09,2016-01-20,1758208,0,2454,5,Male,Christopher Lopp,Plymouth,IN,Indiana,46563,1995-05-12,Litware Desktop Wind Tower Oscillating Fan E1201 White,Litware,White,15.29,29.99,149.95,0808,Fans,08,Home Appliances,2016-01-09,1869,4,1
374012,4,2016-01-01,2016-01-09,2016-01-20,1758208,0,2108,1,Male,Christopher Lopp,Plymouth,IN,Indiana,46563,1995-05-12,Contoso Water Heater 2.6GPM E0900 Grey,Contoso,Grey,258.98999999999995,508,508,0804,Water Heaters,08,Home Appliances,2016-01-09,1869,4,1
381002,1,2016-01-01,2016-01-16,2016-01-26,2042097,0,1283,1,Male,Tom Kohler,Arlington,TX,Texas,76011,1986-12-19,Contoso Mini Battery Charger Kit E320 White,Contoso,White,12.739999999999998,24.99,24.99,0406,Cameras & Camcorders Accessories,04,Cameras and camcorders,2016-01-16,1862,3,1
381002,2,2016-01-01,2016-01-16,2016-01-26,2042097,0,1345,1,Male,Tom Kohler,Arlington,TX,Texas,76011,1986-12-19,Contoso 4-Line Expandable Cordless Phone System M900 Black,Contoso,Black,10.12,22,22,0501,Home & Office Phones,05,Cell phones,2016-01-16,1862,3,1
381002,3,2016-01-01,2016-01-16,2016-01-26,2042097,0,2510,2,Male,Tom Kohler,Arlington,TX,Texas,76011,1986-12-19,Contoso Original K1m Li-Ion Standard Battery E170 White,Contoso,White,2.07,4.06,8.12,0505,Cell phones Accessories,05,Cell phones,2016-01-16,1862,3,1
381012,1,2016-01-01,2016-01-16,2016-01-23,2072376,0,1759,2,Female,Claire Kaeppel,Rapid City,SD,South Dakota,57702,2000-05-17,MGS MechWarrior 4: Vengeance X800,Tailspin Toys,Purple,34.75,104.89,209.78,0702,Download Games,07,Games and Toys,2016-01-16,1862,2,1
381012,2,2016-01-01,2016-01-16,2016-01-23,2072376,0,1684,7,Female,Claire Kaeppel,Rapid City,SD,South Dakota,57702,2000-05-17,MGS Hand Games for Office worker L299 Silver,Tailspin Toys,Silver,5.6,16.89,118.23,0701,Boxed Games,07,Games and Toys,2016-01-16,1862,2,1
381013,1,2016-01-01,2016-01-16,2016-01-21,1984685,0,1583,1,Female,Ashley Ruvalcaba,Tampa,FL,Florida,33614,1944-11-28,SV DVD 58 DVD Storage Binder M55 Black,Southridge Video,Black,6.39,13.89,13.89,0602,Movie DVD,06,"Music, Movies and Audio Books",2016-01-16,1862,2,1
381013,2,2016-01-01,2016-01-16,2016-01-21,1984685,0,584,8,Female,Ashley Ruvalcaba,Tampa,FL,Florida,33614,1944-11-28,Contoso Screen 100in E010 Black,Contoso,Black,62.949999999999996,190,1520,0305,Projectors & Screens,03,Computers,2016-01-16,1862,2,1
384004,1,2016-01-01,2016-01-19,2016-01-28,1316297,0,1150,2,Male,Timothy Santillo,Milwaukee,WI,Wisconsin,53202,1978-07-24,Fabrikam Budget Movie-Maker 1/3'' 8.5mm E200 Black,Fabrikam,Black,209.54,411,822,0405,Camcorders,04,Cameras and camcorders,2016-01-19,1859,2,1
384004,2,2016-01-01,2016-01-19,2016-01-28,1316297,0,1578,6,Male,Timothy Santillo,Milwaukee,WI,Wisconsin,53202,1978-07-24,SV DVD Recorder L210 Silver,Southridge Video,Silver,72.56,219,1314,0602,Movie DVD,06,"Music, Movies and Audio Books",2016-01-19,1859,2,1
386001,1,2016-01-01,2016-01-21,2016-01-30,1912666,0,1996,2,Female,Jana Klusová,Washington,MD,Maryland,20008,1975-04-13,Fabrikam Microwave 2.2CuFt M1250 Grey,Fabrikam,Grey,91.97,199.99,399.98,0803,Microwaves,08,Home Appliances,2016-01-21,1857,2,1
386001,2,2016-01-01,2016-01-21,2016-01-30,1912666,0,1577,1,Female,Jana Klusová,Washington,MD,Maryland,20008,1975-04-13,SV DVD Recorder L200 Black,Southridge Video,Black,72.56,219,219,0602,Movie DVD,06,"Music, Movies and Audio Books",2016-01-21,1857,2,1
388001,1,2016-01-01,2016-01-23,2016-01-27,1730210,0,1616,1,Male,Ralph Wilson,Clewiston,FL,Florida,33440,1989-04-30,Contoso DVD Player M100 Black,Contoso,Black,26.21,56.99,56.99,0602,Movie DVD,06,"Music, Movies and Audio Books",2016-01-23,1855,1,0
388013,1,2016-01-01,2016-01-23,2016-01-30,1559552,0,1657,1,Female,Dora Fauntleroy,Elmsford,NY,New York,10523,1938-03-21,Contoso DVD 12-Inch Player Portable M400 White,Contoso,White,82.77,179.99,179.99,0602,Movie DVD,06,"Music, Movies and Audio Books",2016-01-23,1855,1,0
390002,1,2016-01-01,2016-01-25,2016-02-06,2029518,0,537,3,Male,Jan Berg,Los Angeles,CA,California,90017,1939-04-04,WWI LCD17W E200 White,Wide World Importers,White,65.77,129,387,0304,Monitors,03,Computers,2016-01-25,1853,5,1
390002,2,2016-01-01,2016-01-25,2016-02-06,2029518,0,1636,2,Male,Jan Berg,Los Angeles,CA,California,90017,1939-04-04,Contoso DVD 55DVD Storage Binder M56 Silver,Contoso,Silver,5.819999999999999,12.66,25.32,0602,Movie DVD,06,"Music, Movies and Audio Books",2016-01-25,1853,5,1
390002,3,2016-01-01,2016-01-25,2016-02-06,2029518,0,1581,1,Male,Jan Berg,Los Angeles,CA,California,90017,1939-04-04,SV DVD Recorder L240 Gold,Southridge Video,Gold,72.56,219,219,0602,Movie DVD,06,"Music, Movies and Audio Books",2016-01-25,1853,5,1
390002,4,2016-01-01,2016-01-25,2016-02-06,2029518,0,1792,2,Male,Jan Berg,Los Angeles,CA,California,90017,1939-04-04,MGS Age of Mythology: The Titans Expansion 2009 E148,Tailspin Toys,Pink,21.919999999999998,43,86,0702,Download Games,07,Games and Toys,2016-01-25,1853,5,1
390002,5,2016-01-01,2016-01-25,2016-02-06,2029518,0,458,1,Male,Jan Berg,Los Angeles,CA,California,90017,1939-04-04,WWI Desktop PC1.80 E1800 White,Wide World Importers,White,117.21000000000001,229.9,229.9,0303,Desktops,03,Computers,2016-01-25,1853,5,1
392003,1,2016-01-01,2016-01-27,2016-02-04,1471397,0,156,8,Female,Elizabeth Peete,La Plata,MO,Missouri,63549,1941-06-11,"Adventure Works 26"" 720p LCD HDTV M140 Brown",Adventure Works,Brown,216.12,469.96999999999997,3759.7599999999998,0201,Televisions,02,TV and Video,2016-01-27,1851,2,1
393004,1,2016-01-01,2016-01-28,2016-02-09,2007813,0,415,3,Male,Dawid Robertson,Rutherfordton,NC,North Carolina,28139,1971-07-08,Proseware Laptop8.9 E089 White,Proseware,White,166.2,326,978,0301,Laptops,03,Computers,2016-01-28,1850,2,1
393004,2,2016-01-01,2016-01-28,2016-02-09,2007813,0,1629,1,Male,Dawid Robertson,Rutherfordton,NC,North Carolina,28139,1971-07-08,Contoso DVD 38 DVD Storage Binder E25 Black,Contoso,Black,5.09,9.99,9.99,0602,Movie DVD,06,"Music, Movies and Audio Books",2016-01-28,1850,2,1
394000,1,2016-01-01,2016-01-29,2016-02-09,1736019,0,979,1,Male,Reed Flatt,New Albany,IN,Indiana,47150,1941-09-01,A. Datum Consumer Digital Camera E100 Pink,A. Datum,Pink,143.26,281,281,0401,Digital Cameras,04,Cameras and camcorders,2016-01-29,1849,2,1
394000,2,2016-01-01,2016-01-29,2016-02-09,1736019,0,113,4,Male,Reed Flatt,New Albany,IN,Indiana,47150,1941-09-01,WWI Wireless Transmitter and Bluetooth Headphones X250 White,Wide World Importers,White,82.83,249.99,999.96,0106,Bluetooth Headphones,01,Audio,2016-01-29,1849,2,1
397002,1,2016-02-01,2016-02-01,2016-02-09,1348253,0,1607,2,Male,Joseph Brown,Garner,NC,North Carolina,27529,1960-06-28,SV DVD 12-Inch Player Portable M400 Silver,Southridge Video,Silver,82.77,179.99,359.98,0602,Movie DVD,06,"Music, Movies and Audio Books",2016-02-01,1846,3,1
397002,2,2016-02-01,2016-02-01,2016-02-09,1348253,0,97,2,Male,Joseph Brown,Garner,NC,North Carolina,27529,1960-06-28,WWI Stereo Bluetooth Headphones E1000 Green,Wide World Importers,Green,34.36,67.4,134.8,0106,Bluetooth Headphones,01,Audio,2016-02-01,1846,3,1
397002,3,2016-02-01,2016-02-01,2016-02-09,1348253,0,2012,2,Male,Joseph Brown,Garner,NC,North Carolina,27529,1960-06-28,Fabrikam Microwave 0.8CuFt E0800 Black,Fabrikam,Black,48.43,94.99000000000001,189.98000000000002,0803,Microwaves,08,Home Appliances,2016-02-01,1846,3,1
397004,1,2016-02-01,2016-02-01,2016-02-10,1866421,0,123,2,Female,Melanie Ward,San Ramon,CA,California,94583,1958-01-22,"Adventure Works 19"" Portable LCD HDTV M110 Black",Adventure Works,Black,128.76,279.98999999999995,559.9799999999999,0201,Televisions,02,TV and Video,2016-02-01,1846,3,1
397004,2,2016-02-01,2016-02-01,2016-02-10,1866421,0,625,1,Female,Melanie Ward,San Ramon,CA,California,94583,1958-01-22,WWI Projector 720p DLP56 White,Wide World Importers,White,459.4,999,999,0305,Projectors & Screens,03,Computers,2016-02-01,1846,3,1
397004,3,2016-02-01,2016-02-01,2016-02-10,1866421,0,1641,4,Female,Melanie Ward,San Ramon,CA,California,94583,1958-01-22,Contoso DVD 55DVD Storage Binder M56 Red,Contoso,Red,5.819999999999999,12.66,50.64,0602,Movie DVD,06,"Music, Movies and Audio Books",2016-02-01,1846,3,1
400006,1,2016-02-01,2016-02-04,2016-02-10,1996959,0,1284,3,Female,Antonija Horvat,Lock Haven,PA,Pennsylvania,17745,1981-03-28,Contoso Mini Battery Charger Kit E320 Black,Contoso,Black,12.739999999999998,24.99,74.97,0406,Cameras & Camcorders Accessories,04,Cameras and camcorders,2016-02-04,1843,2,1
402010,1,2016-02-01,2016-02-06,2016-02-13,1653624,0,974,3,Male,Richard Turner,Nashville,TN,Tennessee,37211,1946-01-21,A. Datum Slim Digital Camera M180 Pink,A. Datum,Pink,68.06,148,444,0401,Digital Cameras,04,Cameras and camcorders,2016-02-06,1841,4,1
406001,1,2016-02-01,2016-02-10,2016-02-15,1610147,0,1684,5,Female,Elizabeth Gilliam,Springfield,MA,Massachusetts,1103,1965-01-03,MGS Hand Games for Office worker L299 Silver,Tailspin Toys,Silver,5.6,16.89,84.45,0701,Boxed Games,07,Games and Toys,2016-02-10,1837,7,1
406001,2,2016-02-01,2016-02-10,2016-02-15,1610147,0,100,2,Female,Elizabeth Gilliam,Springfield,MA,Massachusetts,1103,1965-01-03,WWI Wireless Bluetooth Stereo Headphones M170 White,Wide World Importers,White,55.18,120,240,0106,Bluetooth Headphones,01,Audio,2016-02-10,1837,7,1
406001,3,2016-02-01,2016-02-10,2016-02-15,1610147,0,1500,3,Female,Elizabeth Gilliam,Springfield,MA,Massachusetts,1103,1965-01-03,The Phone Company Smart phones without camera E100 Pink,The Phone Company,Pink,65.77,129,387,0504,Smart phones & PDAs,05,Cell phones,2016-02-10,1837,7,1
406001,4,2016-02-01,2016-02-10,2016-02-15,1610147,0,430,3,Female,Elizabeth Gilliam,Springfield,MA,Massachusetts,1103,1965-01-03,Adventure Works Desktop PC1.60 ED160 Brown,Adventure Works,Brown,137.63,269.95,809.8499999999999,0303,Desktops,03,Computers,2016-02-10,1837,7,1
406001,5,2016-02-01,2016-02-10,2016-02-15,1610147,0,2099,1,Female,Elizabeth Gilliam,Springfield,MA,Massachusetts,1103,1965-01-03,Contoso Water Heater 1.5GPM E0800 Green,Contoso,Green,131.28,257.5,257.5,0804,Water Heaters,08,Home Appliances,2016-02-10,1837,7,1
406001,6,2016-02-01,2016-02-10,2016-02-15,1610147,0,450,1,Female,Elizabeth Gilliam,Springfield,MA,Massachusetts,1103,1965-01-03,WWI Desktop PC2.33 X2330 Brown,Wide World Importers,Brown,304.47999999999996,919,919,0303,Desktops,03,Computers,2016-02-10,1837,7,1
406001,7,2016-02-01,2016-02-10,2016-02-15,1610147,0,452,2,Female,Elizabeth Gilliam,Springfield,MA,Massachusetts,1103,1965-01-03,WWI Desktop PC1.60 E1600 Red,Wide World Importers,Red,112.14,219.95000000000002,439.90000000000003,0303,Desktops,03,Computers,2016-02-10,1837,7,1
406007,1,2016-02-01,2016-02-10,2016-02-20,1451764,0,1602,2,Male,Richard Lane,Miami Springs,FL,Florida,33166,1977-12-11,SV DVD 12-Inch Player Portable M400 Black,Southridge Video,Black,82.77,179.99,359.98,0602,Movie DVD,06,"Music, Movies and Audio Books",2016-02-10,1837,4,1
407002,1,2016-02-01,2016-02-11,2016-02-16,1342915,0,1092,8,Female,Maryann Edmonds,Southfield,MI,Michigan,48075,1988-09-22,Contoso SLR Camera X144 Gold,Contoso,Gold,222.98000000000002,673,5384,0402,Digital SLR Cameras,04,Cameras and camcorders,2016-02-11,1836,1,0
407010,1,2016-02-01,2016-02-11,2016-02-14,1380756,0,1580,1,Male,Owen Miller,Grand Rapids,MI,Michigan,49546,1978-12-09,SV DVD Recorder L230 Grey,Southridge Video,Grey,72.56,219,219,0602,Movie DVD,06,"Music, Movies and Audio Books",2016-02-11,1836,4,1
407010,2,2016-02-01,2016-02-11,2016-02-14,1380756,0,2083,6,Male,Owen Miller,Grand Rapids,MI,Michigan,49546,1978-12-09,Contoso Microwave 0.9CuFt E0090 Black,Contoso,Black,50.98,99.99000000000001,599.94,0803,Microwaves,08,Home Appliances,2016-02-11,1836,4,1
407010,3,2016-02-01,2016-02-11,2016-02-14,1380756,0,1693,2,Male,Owen Miller,Grand Rapids,MI,Michigan,49546,1978-12-09,SV Hand Games men M30 Black,Southridge Video,Black,3.16,6.88,13.76,0701,Boxed Games,07,Games and Toys,2016-02-11,1836,4,1
409001,1,2016-02-01,2016-02-13,2016-02-17,1856221,0,2094,2,Female,Stephanie Moore,Folsom,CA,California,95630,1947-05-05,Contoso Water Heater 1.5GPM E0800 Blue,Contoso,Blue,131.28,257.5,515,0804,Water Heaters,08,Home Appliances,2016-02-13,1834,6,1
409001,2,2016-02-01,2016-02-13,2016-02-17,1856221,0,161,7,Female,Stephanie Moore,Folsom,CA,California,95630,1947-05-05,"Adventure Works 52"" LCD HDTV X790W Silver",Adventure Works,Silver,527.53,1592.2,11145.4,0201,Televisions,02,TV and Video,2016-02-13,1834,6,1
409001,3,2016-02-01,2016-02-13,2016-02-17,1856221,0,1598,3,Female,Stephanie Moore,Folsom,CA,California,95630,1947-05-05,SV DVD External DVD Burner M200 Grey,Southridge Video,Grey,26.62,57.879999999999995,173.64,0602,Movie DVD,06,"Music, Movies and Audio Books",2016-02-13,1834,6,1
409001,4,2016-02-01,2016-02-13,2016-02-17,1856221,0,2109,3,Female,Stephanie Moore,Folsom,CA,California,95630,1947-05-05,Contoso Water Heater 1.5GPM E0800 Grey,Contoso,Grey,131.28,257.5,772.5,0804,Water Heaters,08,Home Appliances,2016-02-13,1834,6,1
411002,1,2016-02-01,2016-02-15,2016-02-25,1965605,0,1616,4,Male,Charlie Davis,Squaw Gap,ND,North Dakota,59270,1965-10-09,Contoso DVD Player M100 Black,Contoso,Black,26.21,56.99,227.96,0602,Movie DVD,06,"Music, Movies and Audio Books",2016-02-15,1832,1,0
412002,1,2016-02-01,2016-02-16,2016-02-21,1845084,0,191,4,Male,David Gilmore,Bluefield,WV,West Virginia,24701,2001-12-12,SV 8xDVD E140 Silver,Southridge Video,Silver,33.65,66,264,0202,VCD & DVD,02,TV and Video,2016-02-16,1831,1,0
412005,1,2016-02-01,2016-02-16,2016-02-21,1838833,0,1271,1,Male,Graham Fouche,Carsonville,MI,Michigan,48419,1954-02-05,Contoso Lens Cap Keeper E314 Yellow,Contoso,Yellow,3.54,6.95,6.95,0406,Cameras & Camcorders Accessories,04,Cameras and camcorders,2016-02-16,1831,4,1
412005,2,2016-02-01,2016-02-16,2016-02-21,1838833,0,2102,7,Male,Graham Fouche,Carsonville,MI,Michigan,48419,1954-02-05,Contoso Water Heater 4.0GPM M1250 Silver,Contoso,Silver,363.75,791,5537,0804,Water Heaters,08,Home Appliances,2016-02-16,1831,4,1
412005,3,2016-02-01,2016-02-16,2016-02-21,1838833,0,740,1,Male,Graham Fouche,Carsonville,MI,Michigan,48419,1954-02-05,Proseware High-Performance Business-Class Laser Fax X200 Green,Proseware,Green,82.16999999999999,248,248,0306,"Printers, Scanners & Fax",03,Computers,2016-02-16,1831,4,1
412005,4,2016-02-01,2016-02-16,2016-02-21,1838833,0,1098,1,Male,Graham Fouche,Carsonville,MI,Michigan,48419,1954-02-05,Contoso SLR Camera M145 Pink,Contoso,Pink,157.73,343,343,0402,Digital SLR Cameras,04,Cameras and camcorders,2016-02-16,1831,4,1
414015,1,2016-02-01,2016-02-18,2016-02-25,1849306,0,2250,2,Male,Chad Coon,East Lansing,MI,Michigan,48823,1984-08-15,WWI Wall Lamp E215 Silver,Wide World Importers,Silver,61.17,119.99000000000001,239.98000000000002,0806,Lamps,08,Home Appliances,2016-02-18,1829,5,1
416000,1,2016-02-01,2016-02-20,2016-02-27,1566584,0,960,1,Female,Lisa Ryan,Seattle,WA,Washington,98101,1946-07-15,A. Datum Slim Digital Camera M180 Grey,A. Datum,Grey,68.06,148,148,0401,Digital Cameras,04,Cameras and camcorders,2016-02-20,1827,2,1
416000,2,2016-02-01,2016-02-20,2016-02-27,1566584,0,293,1,Female,Lisa Ryan,Seattle,WA,Washington,98101,1946-07-15,SV Car Video LCD7W M7081 Black,Southridge Video,Black,229.47,499,499,0205,Car Video,02,TV and Video,2016-02-20,1827,2,1
416009,1,2016-02-01,2016-02-20,2016-02-28,1202046,0,2143,2,Male,Scott Webb,Walnut Creek,CA,California,94596,1993-12-13,Adventure Works Coffee Maker Auto 5C E090 Black,Adventure Works,Black,83.1,163,326,0805,Coffee Machines,08,Home Appliances,2016-02-20,1827,3,1
416009,2,2016-02-01,2016-02-20,2016-02-28,1202046,0,2038,5,Male,Scott Webb,Walnut Creek,CA,California,94596,1993-12-13,Litware Microwave 2.2CuFt M125 Red,Litware,Red,91.97,199.99,999.95,0803,Microwaves,08,Home Appliances,2016-02-20,1827,3,1
416009,3,2016-02-01,2016-02-20,2016-02-28,1202046,0,65,1,Male,Scott Webb,Walnut Creek,CA,California,94596,1993-12-13,WWI 2GB Spy Video Recorder Pen M300 Purple,Wide World Importers,Purple,83.24000000000001,181,181,0104,Recording Pen,01,Audio,2016-02-20,1827,3,1
416024,1,2016-02-01,2016-02-20,2016-03-02,1382226,0,610,4,Male,Edward Parmer,Laurinburg,NC,North Carolina,28352,1969-01-06,Contoso Screen 80in E080 Silver,Contoso,Silver,55.57,109,436,0305,Projectors & Screens,03,Computers,2016-02-20,1827,1,0
418002,1,2016-02-01,2016-02-22,2016-03-01,2013268,0,460,1,Female,Ankica Šimic,Pittsburgh,PA,Pennsylvania,15201,1941-01-13,WWI Desktop PC1.80 E1802 White,Wide World Importers,White,152.9,299.9,299.9,0303,Desktops,03,Computers,2016-02-22,1825,3,1
418002,2,2016-02-01,2016-02-22,2016-03-01,2013268,0,1776,3,Female,Ankica Šimic,Pittsburgh,PA,Pennsylvania,15201,1941-01-13,MGS Age of Empires III: The War Chiefs 2007 E132,Tailspin Toys,Black,21.919999999999998,43,129,0702,Download Games,07,Games and Toys,2016-02-22,1825,3,1
418002,3,2016-02-01,2016-02-22,2016-03-01,2013268,0,1801,1,Female,Ankica Šimic,Pittsburgh,PA,Pennsylvania,15201,1941-01-13,MGS MechWarrior4: Mercenaries2009 E157,Tailspin Toys,White,16.310000000000002,32,32,0702,Download Games,07,Games and Toys,2016-02-22,1825,3,1
418009,1,2016-02-01,2016-02-22,2016-02-29,1846024,0,1168,4,Male,Rod Scott,New York,NY,New York,10011,1954-06-09,Fabrikam Home and Vacation Moviemaker 1'' 25mm M400 White,Fabrikam,White,275.91999999999996,600,2400,0405,Camcorders,04,Cameras and camcorders,2016-02-22,1825,9,1
420012,1,2016-02-01,2016-02-24,2016-03-02,2037919,0,2091,1,Female,Franka Ivankovic,Boston,MA,Massachusetts,2110,1999-10-29,Contoso Water Heater 4.3GPM M1250 Blue,Contoso,Blue,403.53,877.5,877.5,0804,Water Heaters,08,Home Appliances,2016-02-24,1823,2,1
421014,1,2016-02-01,2016-02-25,2016-03-01,1319610,0,1291,1,Female,Paula Sanchez,Columbia,MD,Maryland,21044,1958-12-14,Contoso Macro Zoom Lens X300 White,Contoso,White,121.45,366.55,366.55,0406,Cameras & Camcorders Accessories,04,Cameras and camcorders,2016-02-25,1822,3,1
